id,order_date,customer_id,restaurant_id,food_id
162,10/21/2024,110,8,30
163,8/11/2024,160,64,16
164,3/8/2024,164,48,19
165,2/16/2024,300,42,51
166,3/6/2024,288,51,12
167,1/31/2024,280,10,28
168,11/24/2024,186,39,1
169,6/8/2024,143,23,41
170,9/12/2024,227,32,38
171,12/5/2024,116,4,52
172,2/13/2024,279,9,14
173,8/24/2024,141,36,11
174,6/23/2024,81,44,37
175,10/18/2024,284,62,43
176,8/16/2024,247,6,22
177,7/28/2024,61,56,45
178,6/14/2024,138,16,17
179,7/29/2024,84,38,53
180,8/25/2024,216,68,30
181,8/26/2024,154,15,6
182,5/26/2024,188,63,41
183,5/5/2024,65,23,55
184,5/19/2024,274,17,59
185,4/20/2024,294,66,32
186,1/6/2024,184,6,31
187,6/21/2024,146,67,39
188,6/23/2024,153,9,1
189,3/20/2024,241,13,5
190,4/16/2024,38,10,36
191,6/26/2024,134,35,14
192,1/25/2024,80,57,10
193,3/24/2024,185,12,12
194,12/6/2024,255,39,3
195,3/14/2024,145,27,47
196,3/25/2024,234,40,15
197,3/5/2024,76,65,9
198,8/15/2024,285,16,11
199,11/17/2024,231,14,5
200,11/15/2024,12,64,17
201,10/3/2024,108,15,20
202,1/23/2024,237,53,14
203,10/11/2024,270,10,23
204,4/28/2024,55,29,37
205,1/26/2024,209,5,38
206,12/20/2024,153,61,33
207,7/22/2024,28,59,19
208,6/22/2024,201,9,10
209,12/10/2024,298,2,52
210,2/5/2024,191,67,32
211,4/26/2024,172,56,55
212,6/29/2024,163,65,54
213,5/3/2024,181,17,29
214,9/15/2024,128,55,18
215,3/11/2024,194,8,58
216,1/13/2024,224,52,45
217,4/11/2024,15,61,56
218,7/26/2024,257,38,37
219,3/2/2024,58,28,1
220,11/7/2024,82,46,27
221,9/5/2024,110,16,55
222,2/28/2024,266,9,45
223,6/26/2024,294,45,52
224,1/23/2024,105,43,31
225,12/3/2024,115,22,9
226,7/27/2024,291,20,34
227,7/1/2024,221,66,22
228,2/4/2024,60,47,18
229,7/19/2024,238,68,25
230,8/20/2024,100,24,13
231,11/4/2024,42,11,59
232,10/31/2024,29,55,14
233,2/2/2024,269,7,49
234,11/19/2024,295,52,54
235,3/2/2024,264,47,10
236,12/1/2024,56,61,20
237,4/14/2024,186,51,7
238,7/1/2024,2,26,2
239,2/9/2024,134,31,24
240,2/17/2024,41,25,58
241,7/16/2024,278,50,17
242,10/9/2024,286,28,33
243,10/23/2024,11,22,38
244,3/23/2024,148,42,8
245,2/24/2024,88,59,16
246,11/1/2024,260,60,45
247,3/12/2024,141,38,31
248,6/5/2024,213,45,40
249,3/11/2024,95,56,60
250,1/7/2024,14,35,46
251,1/30/2024,296,34,6
252,12/5/2024,124,2,51
253,4/15/2024,167,37,58
254,6/21/2024,20,12,9
255,8/16/2024,24,1,34
256,11/28/2024,110,53,36
257,10/25/2024,193,22,18
258,4/13/2024,205,33,60
259,9/30/2024,242,15,39
260,10/21/2024,222,29,19
261,3/6/2024,83,44,3
262,4/27/2024,132,63,4
263,8/27/2024,229,32,56
264,4/10/2024,233,52,52
265,9/11/2024,100,51,10
266,4/1/2024,120,9,40
267,3/21/2024,162,48,30
268,4/19/2024,18,61,6
269,9/27/2024,93,21,29
270,11/4/2024,219,69,24
271,9/17/2024,292,51,51
272,12/3/2024,260,19,45
273,11/23/2024,65,61,17
274,4/19/2024,104,55,13
275,6/14/2024,215,37,32
276,3/15/2024,1,64,49
277,5/29/2024,295,50,52
278,1/19/2024,299,11,2
279,4/26/2024,131,54,6
280,11/10/2024,31,25,46
281,11/3/2024,96,40,54
282,11/27/2024,261,16,47
283,11/25/2024,240,62,21
284,8/4/2024,193,3,19
285,7/15/2024,67,7,36
286,11/29/2024,150,57,25
287,1/3/2024,298,28,29
288,5/28/2024,202,56,15
289,5/30/2024,138,54,28
290,7/23/2024,124,39,21
291,5/10/2024,4,23,45
292,11/5/2024,236,16,42
293,7/13/2024,42,58,14
294,4/19/2024,116,66,31
295,7/13/2024,87,48,50
296,12/18/2024,92,19,54
297,11/13/2024,59,51,30
298,7/15/2024,115,37,6
299,6/26/2024,201,2,27
300,7/16/2024,242,26,16
301,12/14/2024,251,7,56
302,1/23/2024,196,17,22
303,12/21/2024,14,61,19
304,2/13/2024,19,22,1
305,1/14/2024,237,45,46
306,11/7/2024,292,62,5
307,12/2/2024,205,48,33
308,7/13/2024,50,2,41
309,5/11/2024,114,4,13
310,10/26/2024,224,70,28
311,7/29/2024,102,12,36
312,10/17/2024,49,57,30
313,8/30/2024,140,3,58
314,9/1/2024,83,55,56
315,7/12/2024,280,14,37
316,6/4/2024,29,22,3
317,1/26/2024,130,34,39
318,9/2/2024,216,9,46
319,5/8/2024,290,33,14
320,11/29/2024,237,67,53
321,8/10/2024,100,60,48
322,5/16/2024,115,25,60
323,1/12/2024,245,6,15
324,6/18/2024,176,69,54
325,12/29/2024,274,7,49
326,9/11/2024,85,1,2
327,3/13/2024,80,6,38
328,11/4/2024,25,56,54
329,6/25/2024,194,33,50
330,12/5/2024,147,70,60
331,8/7/2024,214,62,58
332,10/5/2024,133,13,28
333,12/6/2024,182,25,7
334,3/31/2024,39,11,8
335,11/6/2024,68,21,45
336,8/26/2024,1,44,31
337,3/17/2024,189,35,52
338,6/14/2024,247,64,9
339,1/26/2024,13,45,51
340,4/20/2024,56,10,47
341,2/19/2024,186,17,41
342,4/12/2024,28,15,26
343,10/16/2024,159,11,30
344,3/4/2024,239,67,23
345,12/12/2024,138,1,16
346,3/15/2024,259,14,52
347,7/7/2024,104,42,15
348,4/10/2024,96,59,39
349,8/29/2024,45,10,26
350,7/14/2024,256,3,49
351,12/26/2024,94,53,46
352,4/25/2024,178,5,42
353,11/25/2024,102,52,1
354,1/14/2024,213,21,54
355,12/11/2024,53,12,9
356,7/6/2024,131,20,29
357,1/3/2024,274,7,37
358,8/1/2024,44,19,18
359,2/10/2024,205,33,48
360,5/4/2024,186,45,40
361,8/6/2024,169,50,36
362,9/10/2024,265,25,56
363,8/17/2024,4,9,47
364,5/22/2024,173,27,30
365,9/13/2024,202,32,57
366,3/8/2024,163,10,40
367,12/25/2024,158,53,17
368,1/4/2024,11,16,5
369,8/15/2024,66,67,11
370,5/30/2024,30,17,12
371,1/8/2024,273,7,33
372,8/24/2024,77,66,49
373,4/28/2024,254,22,18
374,4/8/2024,181,24,2
375,8/1/2024,251,39,50
376,1/29/2024,231,34,14
377,2/27/2024,228,11,22
378,12/7/2024,165,21,38
379,11/11/2024,55,32,12
380,9/8/2024,293,51,38
381,4/18/2024,130,31,46
382,5/18/2024,124,25,23
383,4/22/2024,145,10,15
384,8/22/2024,154,60,3
385,3/22/2024,210,67,41
386,12/23/2024,158,45,47
387,3/8/2024,246,26,30
388,1/1/2024,13,57,4
389,2/21/2024,150,17,35
390,4/16/2024,37,13,19
391,6/4/2024,276,16,5
392,3/15/2024,264,28,10
393,9/18/2024,65,4,48
394,10/27/2024,125,62,28
395,9/12/2024,95,24,45
396,10/27/2024,22,21,25
397,12/15/2024,280,3,22
398,12/28/2024,6,25,28
399,6/7/2024,18,7,55
400,1/25/2024,151,61,52
401,6/5/2024,247,48,4
402,3/16/2024,184,14,33
403,5/28/2024,226,13,32
404,7/12/2024,290,6,25
405,7/16/2024,87,5,54
406,4/14/2024,115,11,15
407,7/3/2024,180,57,47
408,12/6/2024,112,44,35
409,3/13/2024,73,47,20
410,8/15/2024,58,18,27
411,11/16/2024,237,24,5
412,3/20/2024,195,49,58
413,7/14/2024,139,70,2
414,2/14/2024,267,59,51
415,5/6/2024,115,62,49
416,12/18/2024,112,55,14
417,3/7/2024,142,3,44
418,3/16/2024,278,53,7
419,2/13/2024,117,41,34
420,7/5/2024,257,58,25
421,6/10/2024,16,7,19
422,1/5/2024,173,50,11
423,11/15/2024,25,70,4
424,1/26/2024,265,45,57
425,2/15/2024,225,35,23
426,4/20/2024,20,28,2
427,7/7/2024,211,36,21
428,5/19/2024,279,19,36
429,10/22/2024,186,64,38
430,7/1/2024,51,16,18
431,1/19/2024,206,9,9
432,4/22/2024,247,48,55
433,10/22/2024,161,29,28
434,1/31/2024,217,48,46
435,2/27/2024,111,6,44
436,11/18/2024,64,8,24
437,9/22/2024,155,50,29
438,1/29/2024,190,35,2
439,2/12/2024,17,34,23
440,12/30/2024,92,40,48
441,3/10/2024,176,68,12
442,5/8/2024,91,7,56
443,12/22/2024,35,33,51
444,8/13/2024,203,3,58
445,9/5/2024,162,45,20
446,10/13/2024,150,52,38
447,7/30/2024,62,17,7
448,4/12/2024,258,30,41
449,1/16/2024,1,69,54
450,10/19/2024,124,62,9
451,9/25/2024,38,20,20
452,6/7/2024,206,49,11
453,5/22/2024,71,63,47
454,9/23/2024,184,9,41
455,2/8/2024,51,47,37
456,6/7/2024,254,69,16
457,3/24/2024,45,37,22
458,4/7/2024,154,39,54
459,7/7/2024,189,29,58
460,8/25/2024,46,52,46
461,8/16/2024,69,31,48
462,6/20/2024,21,13,27
463,12/28/2024,275,56,2
464,5/12/2024,238,5,31
465,4/23/2024,282,32,49
466,11/24/2024,139,59,6
467,4/17/2024,149,19,39
468,7/13/2024,41,36,28
469,1/1/2024,32,35,7
470,5/29/2024,151,32,4
471,6/28/2024,25,56,11
472,5/29/2024,96,51,17
473,2/11/2024,286,18,27
474,9/26/2024,120,47,55
475,11/11/2024,170,60,9
476,10/10/2024,135,41,10
477,1/18/2024,48,39,40
478,1/26/2024,19,2,56
479,7/5/2024,224,10,12
480,3/12/2024,229,19,21
481,6/15/2024,13,15,3
482,5/28/2024,123,69,35
483,3/25/2024,140,17,41
484,5/7/2024,278,9,29
485,4/6/2024,216,38,45
486,2/11/2024,280,45,43
487,11/5/2024,164,44,20
488,9/5/2024,128,52,11
489,7/27/2024,113,27,21
490,1/10/2024,189,56,55
491,6/22/2024,202,62,18
492,3/30/2024,159,2,2
493,10/1/2024,22,38,59
494,2/12/2024,180,31,52
495,11/29/2024,104,58,56
496,3/18/2024,54,17,51
497,11/3/2024,64,45,48
498,10/19/2024,188,70,35
499,1/8/2024,232,55,26
500,2/4/2024,30,21,6
501,3/6/2024,262,30,7
502,10/30/2024,296,37,33
503,1/30/2024,49,16,10
504,3/23/2024,33,48,19
505,7/8/2024,242,30,2
506,5/23/2024,207,47,21
507,6/18/2024,197,1,28
508,2/6/2024,122,68,49
509,12/18/2024,52,49,7
510,12/16/2024,154,27,47
511,9/5/2024,27,56,1
512,2/1/2024,295,14,19
513,5/28/2024,160,6,40
514,6/7/2024,132,32,10
515,12/15/2024,68,39,46
516,11/21/2024,45,63,32
517,6/21/2024,294,13,24
518,7/4/2024,148,44,26
519,2/15/2024,66,22,33
520,5/16/2024,97,36,53
521,12/6/2024,183,33,55
522,2/11/2024,100,57,59
523,4/13/2024,71,43,43
524,4/19/2024,179,14,34
525,3/14/2024,23,9,44
526,2/27/2024,227,23,57
527,4/21/2024,50,15,50
528,7/20/2024,41,16,59
529,6/17/2024,84,42,48
530,10/29/2024,44,5,55
531,12/28/2024,148,12,12
532,5/19/2024,120,68,51
533,9/23/2024,112,65,32
534,6/26/2024,125,27,36
535,10/2/2024,102,49,20
536,4/8/2024,201,57,60
537,6/12/2024,170,53,25
538,3/30/2024,80,44,49
539,8/21/2024,299,31,54
540,5/21/2024,191,55,1
541,1/24/2024,48,8,2
542,11/8/2024,145,5,54
543,7/3/2024,132,47,18
544,2/23/2024,297,26,1
545,1/6/2024,107,39,57
546,11/13/2024,87,40,35
547,8/23/2024,125,1,21
548,2/2/2024,193,65,25
549,12/17/2024,116,60,11
550,10/29/2024,44,59,40
551,7/18/2024,203,16,55
552,5/9/2024,179,24,24
553,8/27/2024,142,57,59
554,4/22/2024,268,37,29
555,3/25/2024,249,29,48
556,10/22/2024,33,61,13
557,1/19/2024,229,68,6
558,3/8/2024,118,3,20
559,6/4/2024,181,56,54
560,7/16/2024,244,65,33
561,7/16/2024,208,53,6
562,3/7/2024,81,17,24
563,8/12/2024,8,9,50
564,7/30/2024,133,52,36
565,3/17/2024,185,13,53
566,11/14/2024,64,19,46
567,8/4/2024,197,45,55
568,4/29/2024,132,1,37
569,9/6/2024,45,24,32
570,7/8/2024,162,32,8
571,12/31/2024,264,4,56
572,5/8/2024,87,63,41
573,3/8/2024,232,69,48
574,1/1/2024,155,54,4
575,4/9/2024,152,28,20
576,4/17/2024,248,14,58
577,10/27/2024,294,70,19
578,5/28/2024,180,21,23
579,12/22/2024,120,59,3
580,11/22/2024,186,25,52
581,3/4/2024,226,34,44
582,7/15/2024,251,22,38
583,3/25/2024,127,12,42
584,5/26/2024,61,68,40
585,5/13/2024,154,30,21
586,8/30/2024,59,26,14
587,12/26/2024,28,31,60
588,9/26/2024,285,27,49
589,9/19/2024,250,46,29
590,8/17/2024,220,35,28
591,9/12/2024,287,33,34
592,11/5/2024,261,61,1
593,1/8/2024,148,29,13
594,2/14/2024,43,6,27
595,12/14/2024,299,43,10
596,7/17/2024,238,50,11
597,10/9/2024,270,57,59
598,9/22/2024,36,44,47
599,4/10/2024,97,8,2
600,1/25/2024,27,49,5
